,default,DISCRETE,0,Brak,Niskie,Êrednie,Wysokie,Maksymalne,,,
#,minipay,DISCRETE,5,6 PLN,10 PLN,12 PLN,15 PLN,20 PLN,,,
#,mining,DISCRETE,0,ZAMYKANIE KOPALÛ,OBNIÎENIE WYNAGRODZEÛ,LIKWIDACJA 13. i 14. PENSJI,LIKWIDACJA PREMII,POÙÄCZENIE Z ENERGETYKÄ,,,
#,retireage,DISCRETE,0,PO 70. ROKU ÎYCIA,PO 67. ROKU ÎYCIA,PO 65. ROKU ÎYCIA,PO 60. ROKU ÎYCIA,PO 40 LATACH PRACY,,,,,
#,consttrib,DISCRETE,0,STOSUJEMY SIÜ DO ORZECZEÛ,STOSUJEMY SIÜ DO WYBRANYCH ORZECZEÛ,IGNORUJEMY ORZECZENIA,,,
#,chfhelp,DISCRETE,0,MORALNE WSPARCIE,NISKIE SPREADY,UWZGLÜDNIENIE UJEMNEGO OPROCENTOWANIA,POÙOWA ODPOWIEDZIALNOÊCI BANKÓW,WYMIANA PO KURSIE DNIA UDZIELENIA,,,
#,coalban,DISCRETE,0,PEÙNA DOWOLNOÊÖ,ZAKAZ IMPORTU WÜGLA,ZAKAZ WÜGLA BRUNATNEGO,WÜGIEL KAMIENNY WYSOKOGATUNKOWY,CAÙKOWITY ZAKAZ,,,
#,seniordrugs,DISCRETE,0,PARÜ,KRÓTKA LISTA,WYBRANE,NAJPOPULARNIEJSZE,WSZYSTKIE,,,,
#,eduref,DISCRETE,0,6-LATKI DO SZKÓÙ,6-LATKI DO PRZEDSZKOLI,BEZ GIMNAZJÓW,PODSTAWÓWKA 8 KLAS,,,
#,govtv,DISCRETE,0,NIEZALEÎNA,AUTOCENZURA,DELIKATNE SUGESTIE,LINIA PROGRAMOWA,NA TELEFON,
#,freetaxmoney,DISCRETE,5,3000,5000,8000,10000,12000,
#,groundprot,DISCRETE,0,PEÙNA WOLNOÊÖ,ROLNICY I KOÊCIÓÙ,PIERWOKUP AGENCJI,WSTRZYMANY OBRÓT,
#,banktax,DISCRETE,5,0.02,0.04,0.06,0.08,0.10,
#,civildutylaw,DISCRETE,0,TYLKO KOMPETENTNI,NIECO ZAUFANYCH,POÙOWA ZAUFANYCH,WIÜKSZOÊÖ ZAUFANYCH,TYLKO ZAUFANI,
#,tradeunionlaw,DISCRETE,0,WOLNOÊÖ ZRZESZANIA,OCHRONA PRZED ZWOLNIENIEM,PENSJE,PENSJE I PRZYWILEJE,,
#,taxsystemplug,DISCRETE,0,PODATNIK MA RACJÜ,PODATNIK ZAZWYCZAJ MA RACJÜ,PODATNIK PODERZANY,WYSTARCZY PRETEKST,PERMANENTNE KONTROLE,
#,secularstate,DISCRETE,0,ÎYCZLIWOÊÖ,WSPÓÙPRACA,ROZDZIAÙ,NIEUFNOÊÖ,WROGOÊÖ,
#,miningpriv,DISCRETE,0,KILKA NAJGORSZYCH,WSZYSTKIE POD KRESKÄ,ZE ZÙYMI PROGNOZAMI,POZOSTAJÄ NAJLEPSZE,SPRZEDAÎ WSZYSTKICH,
#,huntrepay,DISCRETE,0,SYMBOLICZNE,NISKIE,ÊREDNIE,GODNE,WYSOKIE,,,
#,priesttax,DISCRETE,5,10%,12%,15%,18%,21%,,,
#,partnerlaw,DISCRETE,0,UMOWA NOTARIALNA,ZWIÄZEK PARTNERSKI,MAÙÎEÛSTWO,ZWIÄZEK PARTNERSKI Z ADOPCJÄ,MALÎEÛSTWO Z ADOPCJÄ,,,
#,partyfin,DISCRETE,0,BRAK,TYLKO PARTIA RZÄDZÄCA,TYLKO >10%,TYLKO PARLAMENTARNE,WSZYSTKIE >3% POPARCIA,,,
#,edueng,DISCRETE,0,OD STUDIÓW,OD LICEUM,OD GIMNAZJUM,OD PODSTAWÓWKI,OD PRZEDSZKOLA,,,
#,newindustry,DISCRETE,0,GRANTY,UÙATWIENIA PRAWNE,ULGI PODATKOWE,WSPARCIE EKSPERTÓW,PROMOCJA ZA GRANICÄ,,,
#,extrahealthinsur,DISCRETE,0,LEPSZE TRAKTOWANIE,WYÎSZY STANDARD,DEDYKOWANY PERONEL,SZYBSZY ZABIEG,NOWOCZESNA TERAPIA,,,
#,notforbidden,DISCRETE,0,CZÜSTE ZMIANY PRAWA,SPRZECZNE AKTY PRAWNE,SZCZEGÓÙOWE PRZEPISY,SPÓJNIE, CHOÖ SZCZEGÓÙOWO,OGÓLNE ZASADY,,,
#,goodnameprotection,DISCRETE,0,KAMPANIA PR,WYSYÙANIE NOT PROTESTACYJNYCH,ODWOÙYWANIE AMBASADORÓW NA KONSULTACJE,CENZURA BADAÛ NAUKOWYCH,WIÜZIENIE ZA KRYTYKÜ RZÄDU,,,
#,anticorruptact,DISCRETE,0,SORRY, TAKI MAMY KLIMAT,OPOZYCJI NIE PRZEPUÊCIMY,KORUPCJA TO ZÙO,POSTARAMY SIÜ WYPLENIÖ,WYPALIMY ÎELAZEM,,,
#,refugeecamps,DISCRETE,0,NAMIOTY. NAWET ZIMÄ,MINIMUM HUMANITARNE,GOÊÖ W DOM, BÓG W DOM,CZYM CHATA BOGATA,ZASTAW SIÜ, A POSTAW SIÜ,,,
#,norefugees,DISCRETE,0,DÎENTELMENI NIE MÓWIÄ O PIENIÄDZACH,TYLE NAM ZOSTAÙO,NA MIARÜ MOÎLIWOÊCI,DAMY, BYLE TAM ZOSTALI,DAJEMY OD SERCA,,,,
#,eutanasia,DISCRETE,0,KLAUZULA SUMIENIA,W STANIE TERMINALNYM,NA ÎÄDANIE CHOREGO,NA ÎÄDANIE RODZINY,,,
#,homelesshelp,DISCRETE,0,WYDAWANIE POSIÙKÓW,NOCLEGOWNIE,OPIEKA MEDYCZNA,STREETWORKERZY,WYJÊCIE Z BEZDOMNOÊCI,,,
#,churchfinance,DISCRETE,0,TYLKO Z TACY,PODATEK PÙACONY PRZEZ WIERNYCH,STAÙA OPÙATA KOÊCIELNA,LEKCJE RELIGII,WZNOWIENIE PRAC KOMISJI MAJÄTKOWEJ,,
#,pensionprivil,DISCRETE,0,BRAK,SÙUÎBY MUNDUROWE,KOLEJARZE,PROKURATORZY I SÜDZIOWIE,NAUCZYCIELE,ROLNICY,,,
#,familymoney,DISCRETE,0,TYLKO NA CHORE PRZEWLEKLE,NA TRZECIE I KOLEJNE,NA DRUGIE I KOLEJNE,NA KAÎDE DZIECKO DO 18 LAT,NA KAÎDE DZIECKO DO 24 LAT,,,
#,gmo,DISCRETE,0,ZAKAZ,UPRAWY DOÊWIADCZALNE,PRECYZYJNE OZNACZENIA,WYBRANE OBSZARY,PEÙNE DOPUSZCZENIE,,,
#,birthmoney,DISCRETE,5,100,250,500,750,1000,,,
#,childcare,DISCRETE,0,URLOP RODZICIELSKI,PRZEDSZKOLA,DOSTÜP DO OPIEKI MEDYCZNEJ,ÎÙOBKI,ELASTYCZNY CZAS PRACY,,,
#,sexedu,DISCRETE,5,TYLKO ZA ZGODÄ RODZICÓW,SKÄD SIÜ BIORÄ DZIECI,CZYM SIÜ RÓÎNIÄ CHÙOPCY OD DZIEWCZYNEK,CO SIÜ ZE MNÄ DZIEJE,BANAN,,,
#,antitobacco,DISCRETE,0,ZAKAZ SPRZEDAÎY PONIIÎEJ 18 LAT,OGRANICZENIE REKLAMY,NIE W MIEJSCACH PUBLICZNYCH,TYLKO W WYDZIELONYCH MIEJSCACH,NIGDY I NIGDZIE,,,
#,highwayact,DISCRETE,5,500 km,1000 km,1500 km,2000 km,2500 km,,,
#,carimport,DISCRETE,0,NAJWYÎSZE STANDARDY EMISJI CO2,MAKSYMALNIE 5-LETNIE,MAKSYMALNIE 10-LETNIE,WSZYSTKIE SPRAWNE,WSZYSTKO, CHOÖBY NA LAWECIE,,,

